,data,codice_regione,denominazione_regione,casi_domani,std_casi_domani,morti_domani,std_morti_domani,casi_dopodomani,std_casi_dopodomani,morti_dopodomani,std_morti_dopodomani
630,2020-03-25T17:00:00,13,Abruzzo,86.0,17.0,9.0,1.0,95.0,20.0,10.0,1.0
631,2020-03-25T17:00:00,17,Basilicata,12.0,4.0,-0.0,,13.0,4.0,-0.0,
632,2020-03-25T17:00:00,4,P.A. Bolzano,70.0,5.0,10.0,2.0,75.0,5.0,13.0,2.0
633,2020-03-25T17:00:00,18,Calabria,31.0,2.0,2.0,1.0,34.0,2.0,2.0,1.0
634,2020-03-25T17:00:00,15,Campania,101.0,4.0,25.0,6.0,110.0,5.0,33.0,10.0
635,2020-03-25T17:00:00,8,Emilia Romagna,988.0,84.0,105.0,2.0,1084.0,99.0,116.0,2.0
636,2020-03-25T17:00:00,6,Friuli Venezia Giulia,102.0,18.0,10.0,1.0,111.0,21.0,12.0,1.0
637,2020-03-25T17:00:00,12,Lazio,215.0,7.0,21.0,1.0,239.0,8.0,26.0,2.0
638,2020-03-25T17:00:00,7,Liguria,260.0,28.0,34.0,7.0,289.0,34.0,39.0,9.0
639,2020-03-25T17:00:00,3,Lombardia,1949.0,65.0,410.0,26.0,2066.0,72.0,448.0,30.0
640,2020-03-25T17:00:00,11,Marche,194.0,6.0,45.0,8.0,207.0,6.0,52.0,10.0
641,2020-03-25T17:00:00,14,Molise,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
642,2020-03-25T17:00:00,1,Piemonte,672.0,39.0,76.0,8.0,747.0,47.0,89.0,10.0
643,2020-03-25T17:00:00,16,Puglia,126.0,13.0,8.0,1.0,141.0,16.0,9.0,1.0
644,2020-03-25T17:00:00,20,Sardegna,45.0,8.0,7.0,1.0,49.0,10.0,9.0,2.0
645,2020-03-25T17:00:00,19,Sicilia,164.0,6.0,12.0,2.0,192.0,8.0,17.0,4.0
646,2020-03-25T17:00:00,9,Toscana,277.0,11.0,23.0,3.0,303.0,13.0,27.0,4.0
647,2020-03-25T17:00:00,4,P.A. Trento,105.0,6.0,22.0,3.0,114.0,7.0,28.0,4.0
648,2020-03-25T17:00:00,10,Umbria,78.0,3.0,1.0,1.0,87.0,4.0,1.0,1.0
649,2020-03-25T17:00:00,2,Valle d'Aosta,13.0,5.0,10.0,1.0,13.0,6.0,14.0,2.0
650,2020-03-25T17:00:00,5,Veneto,512.0,9.0,38.0,3.0,553.0,11.0,44.0,4.0
