stato,codice_regione,denominazione_regione,lat,long,popolazione,componenti_medi_famiglia
ITA,13,Abruzzo,42.35122196,13.39843823,1311580,2.34
ITA,17,Basilicata,40.63947052,15.80514834,562869,2.39
ITA,4,P.A. Bolzano,46.49933453,11.35662422,531178,2.33
ITA,18,Calabria,38.90597598,16.59440194,1947131,2.4
ITA,15,Campania,40.83956555,14.25084984,5801692,2.65
ITA,8,Emilia Romagna,44.49436681,11.3417208,4459477,2.21
ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,1215220,2.16
ITA,12,Lazio,41.89277044,12.48366722,5879082,2.22
ITA,7,Liguria,44.41149315,8.9326992,1550640,2.01
ITA,3,Lombardia,45.46679409,9.190347404,10060574,2.24
ITA,11,Marche,43.61675973,13.5188753,1525271,2.35
ITA,14,Molise,41.55774754,14.65916051,305617,2.33
ITA,1,Piemonte,45.0732745,7.680687483,4356406,2.17
ITA,16,Puglia,41.12559576,16.86736689,4029053,2.5
ITA,20,Sardegna,39.21531192,9.110616306,1639591,2.24
ITA,19,Sicilia,38.11569725,13.3623567,4999891,2.49
ITA,9,Toscana,43.76923077,11.25588885,3729641,2.25
ITA,4,P.A. Trento,46.06893511,11.12123097,541098,2.33
ITA,10,Umbria,43.10675841,12.38824698,882015,2.28
ITA,2,Valle d'Aosta,45.73750286,7.320149366,125666,2.05
ITA,5,Veneto,45.43490485,12.33845213,4905854,2.35
ITA,,,,,60359546,
