"denominazione_regione","data","totale_casi","std_totale_casi","totale_attualmente_positivi","std_totale_attualmente_positivi","deceduti","std_deceduti","dimessi_guariti","std_dimessi_guariti","variazione_totale_casi","std_variazione_totale_casi","variazione_deceduti","std_variazione_deceduti","variazione_dimessi_guariti","std_variazione_dimessi_guariti"
"Italia","2020-03-15 18:00:00","24206.45782880457","3392.9488320546893","20486.264605202112","28275.566984944562","1889.7501771776924","28070.871782727198","1830.443046424767","147.45813248335256","3708.4619826497224","8733.497248225915","266.0519995576613","241.10538459999424","285.67302935830264","233.5041048827383"
"Italia","2020-03-16 18:00:00","28007.757060601667","3998.192781561464","23697.92391008264","31305.761803549914","2314.7657683540074","31048.893207744586","1995.067382165017","177.2206425524762","4133.1489075626405","8729.996440582705","291.9535556347221","242.5538095473705","305.8299460440587","235.74674463458794"
"Italia","2020-03-17 18:00:00","32220.495080756606","4686.3152601025895","27252.477719157912","34496.44508656986","2813.4988850317895","34176.005632243716","2154.518476566904","209.31296783802895","4576.492448158078","8729.732960598185","316.5162601861762","243.99255625359456","324.0424302009187","238.18652986178768"
"Italia","2020-03-18 18:00:00","36863.02800456419","5464.249219327208","31161.09771955682","37842.63054533879","3394.312711398965","37445.25960778703","2307.6175736084056","243.31043036318746","5035.823738888074","8732.43680021834","339.30755860834756","245.44403495767503","340.0627105312062","240.73120811799933"
"Italia","2020-03-19 18:00:00","41951.64422436946","6338.928884190523","35432.36880169581","41338.93394470059","4065.798282595925","40849.08465723293","2453.4771400777217","278.7883636575415","5508.213252867191","8737.893096837592","359.96400127655943","246.90565009958948","353.7139183619536","243.29095569958375"
"Italia","2020-03-20 18:00:00","47500.33875153778","7317.223341690802","40072.18153836849","44979.72110061676","4836.680887180333","44379.433495923266","2591.4763259889614","315.3338516688143","5990.524047687982","8745.940031037091","378.19861414611654","248.35667563086494","364.8886216507806","245.78163041295073"
"Italia","2020-03-21 18:00:00","53520.62262685484","8405.868581956107","45083.67297552177","48759.247831343484","5715.719291054049","48027.922367658946","2721.2303602790244","352.55567983380706","6479.467933945776","8756.461165396484","393.8036912079671","249.7645133237824","373.5445517800172","248.12738218890658"
"Italia","2020-03-22 18:00:00","60021.37016198919","9611.399150958829","50467.21305966248","52671.78840457727","6711.599931671117","51785.964588481445","2842.5571706555957","390.09196102303304","6971.662826234588","8769.374564277241","406.649600210912","251.09001319558354","379.698246201022","250.26242234873862"
"Italia","2020-03-23 18:00:00","67008.70572711411","10940.080592799522","56220.433641933174","56711.749681085916","7832.828369848549","55644.89494667312","2955.4437153323915","427.61534924723196","7463.68964144295","8784.620586849602","416.6803482913737","252.2917314846614","383.41730974432727","252.13194834296507"
"Italia","2020-03-24 18:00:00","74485.93077924807","12397.84384298711","62338.296651609155","60873.76883551691","9087.620344090528","59596.08315779234","3060.01378354838","464.8360295372651","7952.147266675464","8802.149780768961","423.9067148434029","253.3291446310148","384.8119309815668","253.69233840454254"
"Italia","2020-03-25 18:00:00","82453.49086404238","13990.222684105453","68813.1977108781","65152.793214385325","10483.794750803107","63631.03509934146","3156.498402361178","501.5028135218971","8433.704315310839","8821.9118685938","428.39774420744567","254.1649263048515","384.0261952366671","254.9107830442761"
"Italia","2020-03-26 18:00:00","90908.98144642268","15722.295294766716","75635.10117544564","69544.14155028206","12028.670778338637","67741.48103596114","3245.209492638408","537.4027208161272","8905.146610951278","8843.846440806768","430.27132169708506","254.7664372804327","381.2296278972667","255.76452736284813"
"Italia","2020-03-27 18:00:00","99847.19065224369","17598.630816045224","82791.70234748333","74043.54637376138","13728.971261525132","71919.45048244532","3326.5170432352343","572.3594211601118","9363.419572545863","8867.875661001699","429.6844533377143","255.10658762918976","376.6092924360579","256.239878671342"
"Italia","2020-03-28 18:00:00","109260.17634731688","19623.241731741","90268.61243582556","78647.17803647298","15590.734106423568","76157.33373197366","3400.8298050677613","606.2308760879894","9805.6649084137","8893.899052866393","426.8237499010696","255.16421998009187","370.36266544519077","256.33110261287607"
