"denominazione_regione","data","totale_casi","std_totale_casi","totale_attualmente_positivi","std_totale_attualmente_positivi","deceduti","std_deceduti","dimessi_guariti","std_dimessi_guariti"
"Italia","2020-03-22 18:00:00","59150.25855788177","716.2026378521097","47342.02934727152","1097.1694251465722","5385.178784185759","127.38882572371782","6423.050426424491","821.3443955435938"
"Italia","2020-03-23 18:00:00","65944.34284179339","886.445193530224","52635.86579290201","1301.6885071820498","6123.706525891453","160.0822152274244","7184.77052299993","939.6709918715579"
"Italia","2020-03-24 18:00:00","73199.96254212256","1088.3213435469868","58291.64833270563","1539.8758398114232","6919.482234980276","199.23347239259772","7988.831974436664","1071.018337234898"
"Italia","2020-03-25 18:00:00","80915.55977319942","1325.12363509758","64311.23976956112","1814.977213229406","7771.660185354553","245.50838185573275","8832.659818283744","1215.6953856482044"
"Italia","2020-03-26 18:00:00","89086.83585693079","1600.1147261774393","70694.59207200614","2130.1838288479576","8678.891481407241","299.54676923511437","9713.352303517406","1373.895098177531"
"Italia","2020-03-27 18:00:00","97706.81893204662","1916.4833460048285","77439.73065180719","2488.5921767424056","9639.352435986804","361.9489539787079","10627.73584425263","1545.6958178578861"
"Italia","2020-03-28 18:00:00","106765.96368822033","2277.301695060823","84542.76192586342","2893.1647852202022","10650.78052366361","433.2633715479733","11572.421238693312","1731.063925736495"
"Italia","2020-03-29 18:00:00","116252.27974028923","2685.4850640084014","91997.90366998418","3346.692747041756","11710.516453503804","513.9757093971523","12543.85961680124","1929.8578404222885"
"Italia","2020-03-30 18:00:00","126151.48483916193","3143.754368956434","99797.53718259702","3851.7608458364803","12815.550871693908","604.499792239021","13538.396784871007","2141.833346077438"
"Italia","2020-03-31 18:00:00","136447.17892334049","3654.6022034998446","107932.27983734416","4410.715980316663","13962.574228236352","705.170362009821","14552.324857759968","2366.650154487943"
"Italia","2020-04-01 18:00:00","147121.03493886883","4220.262897896339","116391.07622788505","5025.6394394045","15148.028413796605","816.2378192040605","15581.930297187171","2603.8795421521654"
"Italia","2020-04-02 18:00:00","158153.00238394365","4842.68695771658","125161.30580484062","5698.323433863619","16368.158882273174","937.8649226632166","16623.53769682984","2853.0128589473497"
"Italia","2020-04-03 18:00:00","169521.51965363082","5523.520133828002","134228.9046782966","6430.252148068029","17619.066111508917","1070.1253845118624","17673.548863825286","3113.47068082446"
"Italia","2020-04-04 18:00:00","181203.73145543967","6264.08725757235","143578.49911041796","7222.587443821265","18896.755409096346","1213.004246378912","18728.476935925362","3384.6123724041195"
