"denominazione_regione","data","totale_casi","std_totale_casi","totale_attualmente_positivi","std_totale_attualmente_positivi","deceduti","std_deceduti","dimessi_guariti","std_dimessi_guariti","variazione_totale_casi","std_variazione_totale_casi","variazione_deceduti","std_variazione_deceduti","variazione_dimessi_guariti","std_variazione_dimessi_guariti"
"Italia","2020-04-13 18:00:00","143157.0751071922","1973.0564290505624","96180.56736831718","2236.481470005433","18340.071974757564","357.68602906040104","28636.435764117472","990.4334394975301","1092.468815248776","198.78521347287597","162.4124525271675","35.54425498655682","861.4508107663992","227.19998720881006"
"Italia","2020-04-14 18:00:00","143836.221362483","2030.5917260904143","96489.64036892011","2309.925522318259","18439.802250750545","370.1453822326855","28906.778742812345","1037.036911880311","936.4336868333806","178.42584051497755","136.17371844478583","31.53790946197009","760.7130431379595","218.20852769700727"
"Italia","2020-04-15 18:00:00","144407.3308966142","2081.7988801128286","96753.41876517049","2375.2805264915805","18521.799732435495","380.961673538698","29132.11239900823","1078.3965901215042","801.026797056891","159.3825856128654","113.86505133099291","27.799169363086207","666.9726106277429","206.88324938310396"
"Italia","2020-04-16 18:00:00","144886.9096891795","2127.0426966593573","96978.44345686464","2432.9435954048963","18589.096449899946","390.2802074414424","29319.36978241491","1114.7130862644692","683.9886341328682","141.77229048971864","94.99559274264628","24.365449409402036","581.1305415381297","193.87021149468214"
"Italia","2020-04-17 18:00:00","145289.14813876033","2166.77612937511","97170.30274376814","2483.4627405307942","18644.24662318666","398.2584977267868","29474.59877180552","1146.3239322998286","583.1694231000771","125.64276385289398","79.10343467696657","21.25263850319328","503.5791574273706","179.78666109697025"
"Italia","2020-04-18 18:00:00","145626.18202779721","2201.493790529754","97333.78132401023","2527.464730242902","18689.38802345955","405.05434769389706","29603.01268032743","1173.6413542028224","496.5709211173367","110.98903058658516","65.76630066733135","18.46073987702571","434.31643105026177","165.18298171497668"
"Italia","2020-04-19 18:00:00","145908.3451171425","2231.6995354234373","97472.98181143141","2565.603644683085","18726.30052870215","410.8184440659931","29709.062777008952","1197.1079530339528","422.3685149256598","97.76759223454762","54.60632257311782","15.978686459459597","373.0539744139012","150.52192110940442"
"Italia","2020-04-20 18:00:00","146144.40522865544","2257.884776710772","97591.42484107881","2598.525827007809","18756.45978696969","415.6901313631292","29796.520600606935","1217.1665964080964","358.9191723795349","85.90836505824493","45.29083668406449","13.788224314625877","319.3109900065087","136.17157234116922"
"Italia","2020-04-21 18:00:00","146341.77947442426","2280.5147632724847","97692.13246114679","2626.8473196014193","18781.085039443147","419.7953594361418","29868.561973834323","1234.241107397288","304.75967017615056","75.32429520757572","37.53065756864416","11.866903590284375","272.4909722301101","122.40816087296086"
"Italia","2020-04-22 18:00:00","146506.72689587792","2300.0206274797065","97777.69834804258","2651.1404890644812","18801.180885471247","423.24606512865233","29927.84766236408","1248.7248593177064","258.5984936058873","65.91884194437867","31.076886517896163","10.190288894064802","231.94098657917718","109.42499119644907"
"Italia","2020-04-23 18:00:00","146644.51848495673","2316.795506327557","97850.34747339076","2671.927199084","18817.573211190233","426.1404594540689","29976.59780037573","1260.974959260327","219.30393227184499","57.591612013578626","25.716989115575775","8.733526627432994","196.9951480935719","97.34458222942753"
"Italia","2020-04-24 18:00:00","146759.585618704","2331.1934583473912","97911.98717704743","2689.6764929476194","18830.93974453596","428.56385118850926","30016.658697120612","1271.3102382690888","185.89018920903217","50.24245599739696","21.270630827370997","7.472405539961645","167.00477012327636","86.23180888817276"
"Italia","2020-04-25 18:00:00","146855.64854066592","2343.5302310340962","97964.25111442155","2704.805259378767","18841.835810707173","430.5897555312031","30049.5616155372","1280.01172253378","157.5027687483264","43.77432685514104","17.585579800561856","6.384032033293776","141.35787078108078","76.10660317985919"
"Italia","2020-04-26 18:00:00","146935.8268127167","2354.0851924877234","98008.53720291873","2717.680768546607","18850.715891795473","432.2811214826349","30076.573718002495","1287.3246281524441","133.40398985903303","38.095169982212916","14.533859175288915","5.447221840662779","119.49056684832445","66.95537087192885"
