1     Roma     Lazio     Roma     2847490
2     Milano     Lombardia     Milano     1388223
3     Napoli     Campania     Napoli     955503
4     Torino     Piemonte     Torino     875063
5     Palermo     Sicilia     Palermo     659052
6     Genova     Liguria     Genova     575577
7     Bologna     Emilia-Romagna     Bologna     392027
8     Firenze     Toscana     Firenze     379578
9     Bari     Puglia     Bari     319482
10     Catania     Sicilia     Catania     310527
11     Venezia     Veneto     Venezia     259736
12     Verona     Veneto     Verona     258231
13     Messina     Sicilia     Messina     230611
14     Padova     Veneto     Padova     212730
15     Trieste     Friuli-VeneziaGiulia     Trieste     203886
16     Brescia     Lombardia     Brescia     199415
17     Parma     Emilia-Romagna     Parma     197478
18     Taranto     Puglia     Taranto     195279
19     Prato     Toscana     Prato     195249
20     Modena     Emilia-Romagna     Modena     187216
21     ReggioCalabria     Calabria     ReggioCalabria     180369
22     ReggioEmilia     Emilia-Romagna     ReggioEmilia     171999
23     Perugia     Umbria     Perugia     165956
24     Livorno     Toscana     Livorno     157783
25     Ravenna     Emilia-Romagna     Ravenna     157663
26     Cagliari     Sardegna     Cagliari     154267
27     Foggia     Puglia     Foggia     151203
28     Rimini     Emilia-Romagna     Rimini     150576
29     Salerno     Campania     Salerno     132621
30     Ferrara     Emilia-Romagna     Ferrara     132052
31     Sassari     Sardegna     Sassari     126870
32     Latina     Lazio     Latina     126746
33     Monza     Lombardia     MonzaeBrianza     123744
34     GiuglianoinCampania     Campania     Napoli     123490
35     Bergamo     Lombardia     Bergamo     121639
36     Siracusa     Sicilia     Siracusa     121171
37     Pescara     Abruzzo     Pescara     119297
38     Trento     Trentino-AltoAdige     Trento     118288
39     Forlì     Emilia-Romagna     Forlì-Cesena     117798
40     Vicenza     Veneto     Vicenza     110790
41     Terni     Umbria     Terni     110749
42     Bolzano     Trentino-AltoAdige     Bolzano     107739
43     Novara     Piemonte     Novara     104279
44     Piacenza     Emilia-Romagna     Piacenza     103942
45     Ancona     Marche     Ancona     101043
46     Andria     Puglia     Barletta-Andria-Trani     99671
47     Udine     Friuli-VeneziaGiulia     Udine     99377
48     Arezzo     Toscana     Arezzo     99179
49     Cesena     Emilia-Romagna     Forlì-Cesena     97210
50     Lecce     Puglia     Lecce     95269
51     Pesaro     Marche     PesaroeUrbino     94969
52     Barletta     Puglia     Barletta-Andria-Trani     94564
53     Alessandria     Piemonte     Alessandria     93631
54     LaSpezia     Liguria     LaSpezia     93229
55     Pistoia     Toscana     Pistoia     90358
56     GuidoniaMontecelio     Lazio     Roma     89671
57     Catanzaro     Calabria     Catanzaro     89065
58     Pisa     Toscana     Pisa     88880
59     Lucca     Toscana     Lucca     88824
60     Brindisi     Puglia     Brindisi     86812
61     Treviso     Veneto     Treviso     84999
62     TorredelGreco     Campania     Napoli     84672
63     BustoArsizio     Lombardia     Varese     83628
64     Marsala     Sicilia     Trapani     82640
65     Como     Lombardia     Como     82522
66     Grosseto     Toscana     Grosseto     82353
67     SestoSanGiovanni     Lombardia     Milano     81393
68     Pozzuoli     Campania     Napoli     80851
69     Varese     Lombardia     Varese     80559
70     Fiumicino     Lazio     Roma     80470
71     Corigliano-Rossano     Calabria     Cosenza     77128
72     Casoria     Campania     Napoli     76791
73     Asti     Piemonte     Asti     76026
74     CiniselloBalsamo     Lombardia     Milano     75581
75     Caserta     Campania     Caserta     75430
76     Aprilia     Lazio     Latina     74660
77     Gela     Sicilia     Caltanissetta     73854
78     Ragusa     Sicilia     Ragusa     73373
79     Pavia     Lombardia     Pavia     73086
80     Cremona     Lombardia     Cremona     72680
81     Carpi     Emilia-Romagna     Modena     71836
82     Altamura     Puglia     Bari     70667
83     LameziaTerme     Calabria     Catanzaro     70598
84     QuartuSant'Elena     Sardegna     Cagliari     70531
85     Imola     Emilia-Romagna     Bologna     69798
86     L'Aquila     Abruzzo     L'Aquila     69478
87     Massa     Toscana     Massa-Carrara     68889
88     Viterbo     Lazio     Viterbo     67681
89     Trapani     Sicilia     Trapani     67531
90     Cosenza     Calabria     Cosenza     67270
91     Potenza     Basilicata     Potenza     66679
92     CastellammarediStabia     Campania     Napoli     65575
93     Crotone     Calabria     Crotone     64710
94     Afragola     Campania     Napoli     64443
95     Vittoria     Sicilia     Ragusa     64040
96     Pomezia     Lazio     Roma     63792
97     Vigevano     Lombardia     Pavia     63426
98     Carrara     Toscana     Massa-Carrara     62285
99     Viareggio     Toscana     Lucca     62056
100     Caltanissetta     Sicilia     Caltanissetta     61064
101     Fano     Marche     PesaroeUrbino     60872
102     Olbia     Sardegna     Sassari     60731
103     Legnano     Lombardia     Milano     60481
104     Savona     Liguria     Savona     60442
105     Matera     Basilicata     Matera     60404
106     MaranodiNapoli     Campania     Napoli     60163
107     Molfetta     Puglia     Bari     59291
108     Benevento     Campania     Benevento     59200
109     Agrigento     Sicilia     Agrigento     58956
110     Acerra     Campania     Napoli     58813
111     Faenza     Emilia-Romagna     Ravenna     58755
112     Cerignola     Puglia     Foggia     58635
113     Moncalieri     Piemonte     Torino     57527
114     Foligno     Umbria     Perugia     57059
115     Manfredonia     Puglia     Foggia     56738
116     Tivoli     Lazio     Roma     56472
117     Cuneo     Piemonte     Cuneo     56144
118     Trani     Puglia     Barletta-Andria-Trani     55851
119     Bisceglie     Puglia     Barletta-Andria-Trani     55251
120     Anzio     Lazio     Roma     55101
121     Bagheria     Sicilia     Palermo     54714
122     Bitonto     Puglia     Bari     54626
123     Sanremo     Liguria     Imperia     54598
124     Teramo     Abruzzo     Teramo     54343
125     Modica     Sicilia     Ragusa     54268
126     Montesilvano     Abruzzo     Pescara     54258
127     Portici     Campania     Napoli     54045
128     Avellino     Campania     Avellino     54027
129     Siena     Toscana     Siena     53937
130     Gallarate     Lombardia     Varese     53339
131     Velletri     Lazio     Roma     53250
132     Cavade'Tirreni     Campania     Salerno     52931
133     Civitavecchia     Lazio     Roma     52716
134     Aversa     Campania     Caserta     52608
135     SanSevero     Puglia     Foggia     52426
136     Ercolano     Campania     Napoli     52374
137     Acireale     Sicilia     Catania     52065
138     MazaradelVallo     Sicilia     Trapani     51553
139     Pordenone     Friuli-VeneziaGiulia     Pordenone     51367
140     Rovigo     Veneto     Rovigo     51104
141     Battipaglia     Campania     Salerno     51055
142     Chieti     Abruzzo     Chieti     50646
143     Rho     Lombardia     Milano     50602
144     Scandicci     Toscana     Firenze     50551
145     Scafati     Campania     Salerno     50516
146     Misterbianco     Sicilia     Catania     50037
