# https://opengis.csi.it/tiles/
# s = ''; for (i in classificationData) { comune = classificationData[i]; posi = comune.POSITIVI; for (j in posi) { r = posi[j]; s += comune.comune_ist + ' ' + comune.pop_tot + ' ' + r.giorno + ' ' + r.value + '\n';} }
# comune_ist pop_tot giorno positivi
103001 419 0325 0
103001 419 0326 0
103001 419 0327 0
103001 419 0328 0
103001 419 0329 0
103001 419 0330 0
103001 419 0331 0
103001 419 0401 0
103001 419 0402 3
103001 419 0403 5
103001 419 0404 5
103001 419 0405 5
103001 419 0406 5
103001 419 0407 5
103001 419 0408 5
103001 419 0409 5
103002 407 0325 0
103002 407 0326 0
103002 407 0327 0
103002 407 0328 0
103002 407 0329 0
103002 407 0330 0
103002 407 0331 0
103002 407 0401 0
103002 407 0402 0
103002 407 0403 0
103002 407 0404 0
103002 407 0405 0
103002 407 0406 1
103002 407 0407 1
103002 407 0408 1
103002 407 0409 1
103003 2012 0325 3
103003 2012 0326 3
103003 2012 0327 3
103003 2012 0328 4
103003 2012 0329 4
103003 2012 0330 9
103003 2012 0331 9
103003 2012 0401 9
103003 2012 0402 9
103003 2012 0403 9
103003 2012 0404 9
103003 2012 0405 10
103003 2012 0406 10
103003 2012 0407 10
103003 2012 0408 10
103003 2012 0409 10
103004 243 0325 1
103004 243 0326 1
103004 243 0327 1
103004 243 0328 1
103004 243 0329 1
103004 243 0330 1
103004 243 0331 1
103004 243 0401 1
103004 243 0402 1
103004 243 0403 1
103004 243 0404 1
103004 243 0405 1
103004 243 0406 1
103004 243 0407 1
103004 243 0408 1
103004 243 0409 1
103005 103 0325 0
103005 103 0326 0
103005 103 0327 0
103005 103 0328 0
103005 103 0329 0
103005 103 0330 0
103005 103 0331 0
103005 103 0401 0
103005 103 0402 0
103005 103 0403 1
103005 103 0404 1
103005 103 0405 1
103005 103 0406 1
103005 103 0407 1
103005 103 0408 1
103005 103 0409 1
103006 897 0325 0
103006 897 0326 0
103006 897 0327 0
103006 897 0328 0
103006 897 0329 0
103006 897 0330 0
103006 897 0331 0
103006 897 0401 0
103006 897 0402 0
103006 897 0403 0
103006 897 0404 0
103006 897 0405 0
103006 897 0406 0
103006 897 0407 0
103006 897 0408 0
103006 897 0409 0
103007 478 0325 0
103007 478 0326 0
103007 478 0327 0
103007 478 0328 0
103007 478 0329 0
103007 478 0330 0
103007 478 0331 0
103007 478 0401 0
103007 478 0402 0
103007 478 0403 0
103007 478 0404 0
103007 478 0405 0
103007 478 0406 0
103007 478 0407 0
103007 478 0408 0
103007 478 0409 1
103008 4919 0325 5
103008 4919 0326 5
103008 4919 0327 7
103008 4919 0328 7
103008 4919 0329 7
103008 4919 0330 7
103008 4919 0331 7
103008 4919 0401 7
103008 4919 0402 8
103008 4919 0403 9
103008 4919 0404 9
103008 4919 0405 9
103008 4919 0406 10
103008 4919 0407 10
103008 4919 0408 11
103008 4919 0409 11
103009 755 0325 0
103009 755 0326 0
103009 755 0327 0
103009 755 0328 0
103009 755 0329 0
103009 755 0330 0
103009 755 0331 1
103009 755 0401 1
103009 755 0402 2
103009 755 0403 1
103009 755 0404 1
103009 755 0405 1
103009 755 0406 1
103009 755 0407 2
103009 755 0408 2
103009 755 0409 2
103010 503 0325 0
103010 503 0326 0
103010 503 0327 0
103010 503 0328 0
103010 503 0329 0
103010 503 0330 0
103010 503 0331 0
